"","EVTYPE","count","fatalities","fatalities_mean","injuries","injuries_mean"
"1","TSUNAMI",20,33,1.65,129,6.45
"2","HEAT",949,1212,1.277,2684,2.828
"3","EXCESSIVE HEAT",1735,1924,1.109,6548,3.774
"4","RIP CURRENT",774,572,0.739,529,0.683
"5","AVALANCHE",386,224,0.58,170,0.44
"6","HURRICANE TYPHOON",298,133,0.446,1333,4.473
"7","MARINE STRONG WIND",48,14,0.292,22,0.458
"8","COLD WIND CHILL",787,143,0.182,60,0.076
"9","EXTREME COLD WIND CHILL",1900,304,0.16,260,0.137
"10","TROPICAL STORM",697,66,0.095,383,0.549
"11","TORNADO",60696,5636,0.093,91407,1.506
"12","HIGH SURF",2567,197,0.077,521,0.203
"13","STORM SURGE TIDE",409,24,0.059,43,0.105
"14","DUST STORM",432,23,0.053,440,1.019
"15","LIGHTNING",15771,817,0.052,5232,0.332
"16","ICE STORM",2118,97,0.046,2152,1.016
"17","DENSE FOG",1837,81,0.044,1077,0.586
"18","BLIZZARD",2725,101,0.037,805,0.295
"19","FREEZING FOG",378,11,0.029,38,0.101
"20","STRONG WIND",3776,111,0.029,301,0.08
"21","WILDFIRE",2761,75,0.027,911,0.33
"22","ASTRONOMICAL LOW TIDE",294,7,0.024,0,0
"23","FLASH FLOOD",55676,1035,0.019,1802,0.032
"24","WINTER STORM",11442,217,0.019,1353,0.118
"25","FLOOD",26171,483,0.018,6795,0.26
"26","MARINE HAIL",445,8,0.018,7,0.016
"27","SLEET",120,2,0.017,0,0
"28","DUST DEVIL",159,2,0.013,43,0.27
"29","HIGH WIND",20682,279,0.013,1252,0.061
"30","COASTAL FLOOD",864,9,0.01,9,0.01
"31","HEAVY RAIN",11955,123,0.01,297,0.025
"32","HEAVY SNOW",16923,164,0.01,1162,0.069
"33","WINTER WEATHER",8168,66,0.008,540,0.066
"34","MARINE HIGH WIND",135,1,0.007,1,0.007
"35","DROUGHT",2498,4,0.002,19,0.008
"36","MARINE THUNDERSTORM WIND",11987,19,0.002,34,0.003
"37","THUNDERSTORM WIND",324657,735,0.002,9480,0.029
"38","FROST FREEZE",1512,2,0.001,3,0.002
"39","WATERSPOUT",3808,3,0.001,29,0.008
"40","DENSE SMOKE",21,0,0,0,0
"41","FUNNEL CLOUD",6999,0,0,3,0
"42","HAIL",288922,15,0,1372,0.005
"43","LAKE EFFECT SNOW",659,0,0,0,0
"44","LAKESHORE FLOOD",23,0,0,0,0
"45","SEICHE",21,0,0,0,0
"46","TROPICAL DEPRESSION",60,0,0,0,0
"47","VOLCANIC ASH",29,0,0,0,0
